MANCODIGO,SITP_Count
008412003,37
008536012,42
008516009,42
008505089,53
008535034,75
009243019,27
008544004,11
008529012,41
008529014,45
008544006,11
008543099,39
008405010,53
008417057,45
008516024,46
008536001,45
008529043,20
008533022,62
001331078,27
001331070,35
001331071,34
001331075,28
008529004,43
008420001,22
008535048,66
008544020,53
008530017,42
008404030,58
008414007,63
008544019,62
008544018,75
008505053,65
008516004,44
008514031,39
008515010,43
008401024,36
008516031,36
008520042,40
008526016,47
008411025,58
008401011,40
008417027,45
008510013,39
008402003,33
008506031,70
008503009,48
008418020,40
008533039,61
008535066,76
008535067,74
008535068,74
008418048,47
008507008,60
008507009,59
008405011,54
008510015,42
008418056,50
008507043,51
008536062,33
008408047,34
008505008,66
008418038,51
008415060,52
008505023,54
008535028,60
008518016,41
008416037,48
008416038,51
208203087,43
208203066,48
008506064,65
008415044,60
008517030,44
008414048,50
008413012,54
008416047,48
008505047,73
008507007,66
008508023,56
208203054,50
008501044,35
008508024,52
008508025,50
008543021,28
008404006,67
008504017,31
008506083,61
008506084,57
008520063,71
008519086,38
008416033,54
008416035,44
008507055,56
008522007,63
008504015,39
008504040,35
008408048,30
008507031,66
008420005,19
008416061,62
008501056,41
008510016,44
008417037,49
008505044,76
008520065,91
008528045,33
008538030,38
008526027,32
008520073,64
008418002,30
008520072,61
008535032,76
008512011,49
008518003,38
008517014,45
008507017,69
008506026,65
008506071,65
008203020,36
008204001,69
008204002,74
008204003,78
008204004,67
008204005,65
008406032,27
008406024,33
008406031,28
008512016,42
008406046,33
008413014,52
008408034,3
008540018,53
008536076,51
008535041,74
008505009,71
008517008,52
008505055,65
008536064,52
008543037,37
008513016,35
008410003,44
008505067,58
008516027,39
008403002,31
008519081,46
008535010,65
008515038,39
008530086,42
008407032,38
008510005,46
008505041,73
008507041,53
008507042,52
008507044,51
008507045,50
008519062,43
008408002,45
008506085,57
008506086,55
008507011,59
008403001,31
008412043,56
008506087,60
008506088,54
008506089,54
008513030,45
008508029,43
001331077,28
001318011,35
001318012,36
001318009,42
001318010,35
008515066,41
008515024,45
008535076,73
008535080,72
008535088,69
008544002,11
008535089,68
008404026,54
008412053,45
008542005,42
008403023,63
008110018,14
008110020,11
008110021,11
008110023,11
008110024,28
008110028,33
008110032,13
008110033,13
008110038,40
008110039,59
008110040,39
008110041,30
008111001,66
008538029,72
008506017,64
008501026,44
008204006,59
008204008,61
008204009,50
008204010,47
003206001,55
008204013,41
008204014,37
008537006,50
008520048,26
008520053,24
008406007,29
008406034,43
008420003,23
008406004,48
008407050,35
008406020,37
008406012,29
008406030,52
008407049,42
008538080,40
008535065,77
008415034,62
008420008,24
008408021,38
008505043,78
008529032,44
008504009,44
008516011,47
008501047,35
008506021,68
008408032,10
008525016,46
008506043,57
008535027,58
008502006,46
008503023,61
008506051,55
008506094,66
008411007,59
008526047,40
008523008,48
008417050,49
008506007,65
008110001,44
008110002,38
008110004,32
008110005,35
008110006,37
008110009,41
008110010,31
008110012,15
008110013,11
008110015,12
008110016,11
008110017,11
008406026,50
008406016,38
008511012,50
008511013,51
008511014,51
008511015,49
008512001,51
008516025,39
008416032,50
008529002,59
008512023,37
008516038,44
008506073,68
008418041,41
008416043,68
008416040,43
008416044,51
008416045,47
008416046,48
008530039,40
008506011,68
008510017,50
008537009,74
208203076,52
208203063,52
008535084,67
008513007,28
208203085,50
008542010,45
008523017,59
008111006,62
008111007,62
008407047,14
008417035,43
008406025,30
008513061,51
008417010,31
008414021,62
008512020,49
008407028,43
008535052,66
008507016,55
008415066,56
008542003,42
008530003,40
001337037,13
001335047,6
002442062,42
008525017,42
208129024,28
208203084,51
008506049,56
008518013,35
008415035,64
008407016,45
008415036,63
008401013,35
008415043,60
008415049,58
008535008,70
008525008,31
008527030,30
008522001,67
008535061,55
008505076,54
008543032,25
008513036,48
008513025,44
008111009,54
008111013,64
008112001,78
008112002,74
008112003,70
008112004,77
008112005,77
008112006,76
008112007,73
008112008,76
008112009,74
008407020,41
008512004,54
008512009,51
008512006,54
008519082,40
008518046,45
008418049,50
008417075,46
008514007,39
008526048,39
008514008,36
008514035,33
008542004,42
008412058,31
008403012,31
008542008,46
008406029,53
008406010,35
008406015,39
008540036,53
008532004,44
008523013,43
008501035,38
008501036,37
008506006,66
008508046,55
008503008,62
008417053,47
008519032,39
008412027,53
008412002,37
008416021,66
008411006,60
008416041,46
008505064,54
008418019,34
008520050,30
005679055,48
008535090,59
001308057,70
008535047,64
008504026,28
002621074,29
002621073,32
008505018,67
001318014,37
001318016,41
008111002,64
008111003,61
008111004,75
008111005,63
008201001,91
008201002,91
008201003,93
008201004,100
008201005,93
008201006,88
008201007,92
008501033,41
